Time,Coastal GDP (global) ssp126,Coastal GDP (Global) ssp126,Coastal Capital (global) ssp126,Coastal Capital (Global) ssp126,Coastal pop (global) ssp126,Coastal pop (Global) ssp126,Coastal GDP (global) ssp245,Coastal GDP (Global) ssp245,Coastal Capital (global) ssp245,Coastal Capital (Global) ssp245,Coastal pop (global) ssp245,Coastal pop (Global) ssp245,Coastal GDP (global) ssp370,Coastal GDP (Global) ssp370,Coastal Capital (global) ssp370,Coastal Capital (Global) ssp370,Coastal pop (global) ssp370,Coastal pop (Global) ssp370,Coastal GDP (global) ssp460,Coastal GDP (Global) ssp460,Coastal Capital (global) ssp460,Coastal Capital (Global) ssp460,Coastal pop (global) ssp460,Coastal pop (Global) ssp460,Coastal GDP (global) ssp585,Coastal GDP (Global) ssp585,Coastal Capital (global) ssp585,Coastal Capital (Global) ssp585,Coastal pop (global) ssp585,Coastal pop (Global) ssp585
2000.0,11293.316342801347,11293.316342801347,58623.22805197852,58623.22805197852,951.5125102797817,951.5125102797817,11293.316627802998,11293.316627802998,58623.22805197852,58623.22805197852,951.508745007687,951.508745007687,11293.314817597175,11293.314817597175,58623.22805197852,58623.22805197852,951.5318064081387,951.5318064081387,11293.316599566175,11293.316599566175,58623.22805197852,58623.22805197852,951.5172153077359,951.5172153077359,11293.318475786205,11293.318475786205,58623.22805197852,58623.22805197852,951.4880354655728,951.4880354655728
2001.0,11511.481803245812,11511.481803245812,60601.51372187199,60601.51372187199,962.9831154347019,962.9831154347019,11511.482077228218,11511.482077228218,60601.51372187199,60601.51372187199,962.9793236964206,962.9793236964206,11511.480428867768,11511.480428867768,60601.51372187199,60601.51372187199,963.0025475698337,963.0025475698337,11511.4820345466,11511.4820345466,60601.51372187199,60601.51372187199,962.987853856699,962.987853856699,11511.483768289796,11511.483768289796,60601.51372187199,60601.51372187199,962.9584688310032,962.9584688310032
2002.0,11804.2849153859,11804.2849153859,62644.87810926126,62644.87810926126,974.3069034377612,974.3069034377612,11804.285108198694,11804.285108198694,62644.87810926126,62644.87810926126,974.303089251543,974.303089251543,11804.283709436675,11804.283709436675,62644.87810926126,62644.87810926126,974.3264414896412,974.3264414896412,11804.28511160544,11804.28511160544,62644.87810926126,62644.87810926126,974.3116671452198,974.3116671452198,11804.286652755081,11804.286652755081,62644.87810926126,62644.87810926126,974.2821226029224,974.2821226029224
2003.0,12211.239600792447,12211.239600792447,64860.72849587212,64860.72849587212,985.5802818887892,985.5802818887892,12211.239893443284,12211.239893443284,64860.72849587212,64860.72849587212,985.576453813899,985.576453813899,12211.238222628948,12211.238222628948,64860.72849587212,64860.72849587212,985.5999065833082,985.5999065833082,12211.2398495394,12211.2398495394,64860.72849587212,64860.72849587212,985.5850680424146,985.5850680424146,12211.241580654207,12211.241580654207,64860.72849587212,64860.72849587212,985.5553914429273,985.5553914429273
2004.0,12808.294554606062,12808.294554606062,67374.75414589251,67374.75414589251,996.9160093134154,996.9160093134154,12808.294865533484,12808.294865533484,67374.75414589251,67374.75414589251,996.9121649285888,996.9121649285888,12808.292873062577,12808.292873062577,67374.75414589251,67374.75414589251,996.93570700708,996.93570700708,12808.29486863247,12808.29486863247,67374.75414589251,67374.75414589251,996.9208131942748,996.9208131942748,12808.29697746487,12808.29697746487,67374.75414589251,67374.75414589251,996.8910262389526,996.8910262389526
2005.0,13351.99471010399,13351.99471010399,70078.61039644042,70078.61039644042,1008.3791253504428,1008.3791253504428,13351.995066190866,13351.995066190866,70078.61039644042,70078.61039644042,1008.3752686153355,1008.3752686153355,13351.992843157816,13351.992843157816,70078.61039644042,70078.61039644042,1008.3988957192173,1008.3988957192173,13351.99503716422,13351.99503716422,70078.61039644042,70078.61039644042,1008.3839472394809,1008.3839472394809,13351.997429611745,13351.997429611745,70078.61039644042,70078.61039644042,1008.3540526480502,1008.3540526480502
2006.0,13982.14143020064,13982.14143020064,73252.27655686233,73252.27655686233,1019.9959617801642,1019.9959617801642,13982.141823261358,13982.141823261358,73252.27655686233,73252.27655686233,1019.9920891516241,1019.9920891516241,13982.139560790276,13982.139560790276,73252.27655686233,73252.27655686233,1020.0158130133185,1020.0158130133185,13982.141810542296,13982.141810542296,73252.27655686233,73252.27655686233,1020.0008045622687,1020.0008045622687,13982.144016805612,13982.144016805612,73252.27655686233,73252.27655686233,1019.9707823453498,1019.9707823453498
2007.0,14603.678835554987,14603.678835554987,76649.25619708667,76649.25619708667,1031.743275366537,1031.743275366537,14603.679233330635,14603.679233330635,76649.25619708667,76649.25619708667,1031.73938671871,1031.73938671871,14603.676999391882,14603.676999391882,76649.25619708667,76649.25619708667,1031.7632106604824,1031.7632106604824,14603.679210496526,14603.679210496526,76649.25619708667,76649.25619708667,1031.7481372110806,1031.7481372110806,14603.681573553886,14603.681573553886,76649.25619708667,76649.25619708667,1031.7179928569544,1031.7179928569544
2008.0,14880.509637537365,14880.509637537365,79890.00671996584,79890.00671996584,1043.5529671160473,1043.5529671160473,14880.509964004645,14880.509964004645,79890.00671996584,79890.00671996584,1043.549062538838,1043.549062538838,14880.507560523736,14880.507560523736,79890.00671996584,79890.00671996584,1043.572969736897,1043.572969736897,14880.509987222458,14880.509987222458,79890.00671996584,79890.00671996584,1043.5578445797923,1043.5578445797923,14880.512577175712,14880.512577175712,79890.00671996584,79890.00671996584,1043.5275962234082,1043.5275962234082
2009.0,14744.741620905399,14744.741620905399,83307.03780242024,83307.03780242024,1055.3435844499363,1055.3435844499363,14744.742040945855,14744.742040945855,83307.03780242024,83307.03780242024,1055.3396677921605,1055.3396677921605,14744.73943316559,14744.73943316559,83307.03780242024,83307.03780242024,1055.3636593768772,1055.3636593768772,14744.74207439049,14744.74207439049,83307.03780242024,83307.03780242024,1055.3484815584568,1055.3484815584568,14744.74484692295,14744.74484692295,83307.03780242024,83307.03780242024,1055.318125435166,1055.318125435166
