Time,Coastal GDP (global) ssp126,Coastal GDP (North America) ssp126,Coastal GDP (Latin America and Caribbean) ssp126,Coastal GDP (Europe and Central Asia) ssp126,Coastal GDP (Middle East and North Africa) ssp126,Coastal GDP (Sub-Saharan Africa) ssp126,Coastal GDP (South Asia) ssp126,Coastal GDP (East Asia and Pacific) ssp126,Coastal Capital (global) ssp126,Coastal Capital (North America) ssp126,Coastal Capital (Latin America and Caribbean) ssp126,Coastal Capital (Europe and Central Asia) ssp126,Coastal Capital (Middle East and North Africa) ssp126,Coastal Capital (Sub-Saharan Africa) ssp126,Coastal Capital (South Asia) ssp126,Coastal Capital (East Asia and Pacific) ssp126,Coastal pop (global) ssp126,Coastal pop (North America) ssp126,Coastal pop (Latin America and Caribbean) ssp126,Coastal pop (Europe and Central Asia) ssp126,Coastal pop (Middle East and North Africa) ssp126,Coastal pop (Sub-Saharan Africa) ssp126,Coastal pop (South Asia) ssp126,Coastal pop (East Asia and Pacific) ssp126,Coastal GDP (global) ssp245,Coastal GDP (North America) ssp245,Coastal GDP (Latin America and Caribbean) ssp245,Coastal GDP (Europe and Central Asia) ssp245,Coastal GDP (Middle East and North Africa) ssp245,Coastal GDP (Sub-Saharan Africa) ssp245,Coastal GDP (South Asia) ssp245,Coastal GDP (East Asia and Pacific) ssp245,Coastal Capital (global) ssp245,Coastal Capital (North America) ssp245,Coastal Capital (Latin America and Caribbean) ssp245,Coastal Capital (Europe and Central Asia) ssp245,Coastal Capital (Middle East and North Africa) ssp245,Coastal Capital (Sub-Saharan Africa) ssp245,Coastal Capital (South Asia) ssp245,Coastal Capital (East Asia and Pacific) ssp245,Coastal pop (global) ssp245,Coastal pop (North America) ssp245,Coastal pop (Latin America and Caribbean) ssp245,Coastal pop (Europe and Central Asia) ssp245,Coastal pop (Middle East and North Africa) ssp245,Coastal pop (Sub-Saharan Africa) ssp245,Coastal pop (South Asia) ssp245,Coastal pop (East Asia and Pacific) ssp245,Coastal GDP (global) ssp370,Coastal GDP (North America) ssp370,Coastal GDP (Latin America and Caribbean) ssp370,Coastal GDP (Europe and Central Asia) ssp370,Coastal GDP (Middle East and North Africa) ssp370,Coastal GDP (Sub-Saharan Africa) ssp370,Coastal GDP (South Asia) ssp370,Coastal GDP (East Asia and Pacific) ssp370,Coastal Capital (global) ssp370,Coastal Capital (North America) ssp370,Coastal Capital (Latin America and Caribbean) ssp370,Coastal Capital (Europe and Central Asia) ssp370,Coastal Capital (Middle East and North Africa) ssp370,Coastal Capital (Sub-Saharan Africa) ssp370,Coastal Capital (South Asia) ssp370,Coastal Capital (East Asia and Pacific) ssp370,Coastal pop (global) ssp370,Coastal pop (North America) ssp370,Coastal pop (Latin America and Caribbean) ssp370,Coastal pop (Europe and Central Asia) ssp370,Coastal pop (Middle East and North Africa) ssp370,Coastal pop (Sub-Saharan Africa) ssp370,Coastal pop (South Asia) ssp370,Coastal pop (East Asia and Pacific) ssp370,Coastal GDP (global) ssp460,Coastal GDP (North America) ssp460,Coastal GDP (Latin America and Caribbean) ssp460,Coastal GDP (Europe and Central Asia) ssp460,Coastal GDP (Middle East and North Africa) ssp460,Coastal GDP (Sub-Saharan Africa) ssp460,Coastal GDP (South Asia) ssp460,Coastal GDP (East Asia and Pacific) ssp460,Coastal Capital (global) ssp460,Coastal Capital (North America) ssp460,Coastal Capital (Latin America and Caribbean) ssp460,Coastal Capital (Europe and Central Asia) ssp460,Coastal Capital (Middle East and North Africa) ssp460,Coastal Capital (Sub-Saharan Africa) ssp460,Coastal Capital (South Asia) ssp460,Coastal Capital (East Asia and Pacific) ssp460,Coastal pop (global) ssp460,Coastal pop (North America) ssp460,Coastal pop (Latin America and Caribbean) ssp460,Coastal pop (Europe and Central Asia) ssp460,Coastal pop (Middle East and North Africa) ssp460,Coastal pop (Sub-Saharan Africa) ssp460,Coastal pop (South Asia) ssp460,Coastal pop (East Asia and Pacific) ssp460,Coastal GDP (global) ssp585,Coastal GDP (North America) ssp585,Coastal GDP (Latin America and Caribbean) ssp585,Coastal GDP (Europe and Central Asia) ssp585,Coastal GDP (Middle East and North Africa) ssp585,Coastal GDP (Sub-Saharan Africa) ssp585,Coastal GDP (South Asia) ssp585,Coastal GDP (East Asia and Pacific) ssp585,Coastal Capital (global) ssp585,Coastal Capital (North America) ssp585,Coastal Capital (Latin America and Caribbean) ssp585,Coastal Capital (Europe and Central Asia) ssp585,Coastal Capital (Middle East and North Africa) ssp585,Coastal Capital (Sub-Saharan Africa) ssp585,Coastal Capital (South Asia) ssp585,Coastal Capital (East Asia and Pacific) ssp585,Coastal pop (global) ssp585,Coastal pop (North America) ssp585,Coastal pop (Latin America and Caribbean) ssp585,Coastal pop (Europe and Central Asia) ssp585,Coastal pop (Middle East and North Africa) ssp585,Coastal pop (Sub-Saharan Africa) ssp585,Coastal pop (South Asia) ssp585,Coastal pop (East Asia and Pacific) ssp585
2000.0,12095.165274912295,2496.67635308671,800.9453950485304,2539.461893115243,632.580239411092,108.12679304089353,383.52053158869955,5133.854069621152,63238.618094644895,10308.777635694345,3752.3847208680636,15429.527587394157,2534.637217820153,1443.6633436382024,2552.355238727686,27217.272350502277,1008.9993786559347,50.308212516110416,72.78972899647569,83.57176066650652,40.70046004118982,47.3110228660202,180.9948485644798,533.3233450051523,12095.165562815022,2496.67635308671,800.9453950485304,2539.461893115243,632.580533866552,108.12679304089353,383.52053158869955,5133.854063068409,63238.618094644895,10308.777635694345,3752.3847208680636,15429.527587394157,2534.637217820153,1443.6633436382024,2552.355238727686,27217.272350502277,1008.9955038651023,50.308212516110416,72.78972899647569,83.57176066650652,40.70046004118982,47.3110228660202,180.9948485644798,533.3194702143198,12095.16375314994,2496.67635308671,800.9453950485304,2539.461893115243,632.5787250116357,108.12679304089353,383.52053158869955,5133.854062258251,63238.618094644895,10308.777635694345,3752.3847208680636,15429.527587394157,2534.637217820153,1443.6633436382024,2552.355238727686,27217.272350502277,1009.0192367415976,50.308212516110416,72.78972899647569,83.57176066650652,40.70046004118982,47.3110228660202,180.9948485644798,533.3432030908151,12095.165533530706,2496.67635308671,800.9453950485304,2539.461893115243,632.580533866552,108.12679304089353,383.52053158869955,5133.854033784097,63238.618094644895,10308.777635694345,3752.3847208680636,15429.527587394157,2534.637217820153,1443.6633436382024,2552.355238727686,27217.272350502277,1009.0042207785391,50.308212516110416,72.78972899647569,83.57176066650652,40.70046004118982,47.3110228660202,180.9948485644798,533.3281871277567,12095.167410404416,2496.67635308671,800.9453950485304,2539.461893115243,632.5824268458903,108.12679304089353,383.52053158869955,5133.854017678472,63238.618094644895,10308.777635694345,3752.3847208680636,15429.527587394157,2534.637217820153,1443.6633436382024,2552.355238727686,27217.272350502277,1008.974191375875,50.308212516110416,72.78972899647569,83.57176066650652,40.70046004118982,47.3110228660202,180.9948485644798,533.2981577250926
2001.0,12330.41953356312,2522.487435339846,805.9264430912376,2595.191065585908,643.7457201743383,113.86633412138703,399.6285246916154,5249.574010558816,65322.85112616807,10595.456608088441,3832.9728410704483,15776.342335178522,2623.156781506682,1459.7093575404958,2723.941043616923,28311.27215916659,1021.0734737417254,50.82340346128177,73.75236980743175,83.89173952769875,41.55428784130421,48.557844417637824,184.20376184108494,538.2900668452861,12330.41980591783,2522.487435339846,805.9264430912376,2595.191065585908,643.7459871909665,113.86633412138703,399.6285246916154,5249.5740158969,65322.85112616807,10595.456608088441,3832.9728410704483,15776.342335178522,2623.156781506682,1459.7093575404958,2723.941043616923,28311.27215916659,1021.0695715379137,50.82340346128177,73.75236980743175,83.89173952769875,41.55428784130421,48.557844417637824,184.20376184108494,538.2861646414744,12330.418156363558,2522.487435339846,805.9264430912376,2595.191065585908,643.7443467701254,113.86633412138703,399.6285246916154,5249.574006763464,65322.85112616807,10595.456608088441,3832.9728410704483,15776.342335178522,2623.156781506682,1459.7093575404958,2723.941043616923,28311.27215916659,1021.0934715631365,50.82340346128177,73.75236980743175,83.89173952769875,41.55428784130421,48.557844417637824,184.20376184108494,538.3100646666973,12330.419762736854,2522.487435339846,805.9264430912376,2595.191065585908,643.7459871909665,113.86633412138703,399.6285246916154,5249.573972715923,65322.85112616807,10595.456608088441,3832.9728410704483,15776.342335178522,2623.156781506682,1459.7093575404958,2723.941043616923,28311.27215916659,1021.0783500888323,50.82340346128177,73.75236980743175,83.89173952769875,41.55428784130421,48.557844417637824,184.20376184108494,538.294943192393,12330.421497562924,2522.487435339846,805.9264430912376,2595.191065585908,643.7477039257179,113.86633412138703,399.6285246916154,5249.573990807242,65322.85112616807,10595.456608088441,3832.9728410704483,15776.342335178522,2623.156781506682,1459.7093575404958,2723.941043616923,28311.27215916659,1021.048109509685,50.82340346128177,73.75236980743175,83.89173952769875,41.55428784130421,48.557844417637824,184.20376184108494,538.2647026132457
2002.0,12643.538837623031,2567.8298375182676,803.3718924760847,2636.8579465799967,656.4077723788987,121.02130607008637,415.2684699177406,5442.781612681961,67472.03994850574,10846.382389370136,3893.3505316356095,16194.174518671534,2720.3658614686656,1478.240273368961,2889.866248242466,29449.66012574838,1032.9818827956983,51.30090377616882,74.69637353570491,84.25320319928122,42.43260968588078,49.82835071711254,187.38971963199472,543.0807222495555,12643.539029808024,2567.8298375182676,803.3718924760847,2636.8579465799967,656.4080060962136,121.02130607008637,415.2684699177406,5442.781571149644,67472.03994850574,10846.382389370136,3893.3505316356095,16194.174518671534,2720.3658614686656,1478.240273368961,2889.866248242466,29449.66012574838,1032.9779575747816,51.30090377616882,74.69637353570491,84.25320319928122,42.43260968588078,49.82835071711254,187.38971963199472,543.0767970286387,12643.537632006153,2567.8298375182676,803.3718924760847,2636.8579465799967,656.4065705238506,121.02130607008637,415.2684699177406,5442.781608920131,67472.03994850574,10846.382389370136,3893.3505316356095,16194.174518671534,2720.3658614686656,1478.240273368961,2889.866248242466,29449.66012574838,1033.0019897328475,51.30090377616882,74.69637353570491,84.25320319928122,42.43260968588078,49.82835071711254,187.38971963199472,543.1008291867045,12643.539034318728,2567.8298375182676,803.3718924760847,2636.8579465799967,656.4080060962136,121.02130607008637,415.2684699177406,5442.781575660349,67472.03994850574,10846.382389370136,3893.3505316356095,16194.174518671534,2720.3658614686656,1478.240273368961,2889.866248242466,29449.66012574838,1032.98678525659,51.30090377616882,74.69637353570491,84.25320319928122,42.43260968588078,49.82835071711254,187.38971963199472,543.0856247104472,12643.540572221047,2567.8298375182676,803.3718924760847,2636.8579465799967,656.4095084150238,121.02130607008637,415.2684699177406,5442.781611243859,67472.03994850574,10846.382389370136,3893.3505316356095,16194.174518671534,2720.3658614686656,1478.240273368961,2889.866248242466,29449.66012574838,1032.9563803467847,51.30090377616882,74.69637353570491,84.25320319928122,42.43260968588078,49.82835071711254,187.38971963199472,543.0552198006419
2003.0,13076.29208586304,2640.112556750295,821.9978406115792,2684.194773538213,702.551925158527,126.8597162495673,444.9701695119266,5655.605104042947,69810.95262199825,11111.582742502173,3961.664939915173,16579.59154344966,2843.100578239823,1505.096082338096,3072.304994000531,30737.611741552777,1044.831130058926,51.75651452629566,75.62363403939301,84.64630022451352,43.3757693662883,51.1329408493309,190.53751368039227,547.7584573727123,13076.292378638955,2640.112556750295,821.9978406115792,2684.194773538213,702.5521915994087,126.8597162495673,444.9701695119266,5655.60513037797,69810.95262199825,11111.582742502173,3961.664939915173,16579.59154344966,2843.100578239823,1505.096082338096,3072.304994000531,30737.611741552777,1044.8271905049405,51.75651452629566,75.62363403939301,84.64630022451352,43.3757693662883,51.1329408493309,190.53751368039227,547.7545178187268,13076.290706933001,2640.112556750295,821.9978406115792,2684.194773538213,702.5505548545642,126.8597162495673,444.9701695119266,5655.60509541686,69810.95262199825,11111.582742502173,3961.664939915173,16579.59154344966,2843.100578239823,1505.096082338096,3072.304994000531,30737.611741552777,1044.8513261282314,51.75651452629566,75.62363403939301,84.64630022451352,43.3757693662883,51.1329408493309,190.53751368039227,547.7786534420178,13076.292334650114,2640.112556750295,821.9978406115792,2684.194773538213,702.5521915994087,126.8597162495673,444.9701695119266,5655.605086389134,69810.95262199825,11111.582742502173,3961.664939915173,16579.59154344966,2843.100578239823,1505.096082338096,3072.304994000531,30737.611741552777,1044.8360555843624,51.75651452629566,75.62363403939301,84.64630022451352,43.3757693662883,51.1329408493309,190.53751368039227,547.7633828981487,13076.294066319642,2640.112556750295,821.9978406115792,2684.194773538213,702.5539045006943,126.8597162495673,444.9701695119266,5655.605105157376,69810.95262199825,11111.582742502173,3961.664939915173,16579.59154344966,2843.100578239823,1505.096082338096,3072.304994000531,30737.611741552777,1044.805514922009,51.75651452629566,75.62363403939301,84.64630022451352,43.3757693662883,51.1329408493309,190.53751368039227,547.7328422357953
2004.0,13709.823928263717,2739.557422985715,873.9099134207637,2766.6859417223504,759.0697362004566,135.2265465551413,477.971813694924,5957.402553684321,72467.22121071212,11404.697844089149,4057.884484269652,17006.837353538507,2981.2157579455193,1524.0700947121418,3285.0586028211396,32207.45707333603,1056.7426214109935,52.21413311798858,76.53615509902298,85.05898301562071,44.43660948697191,52.47990717604065,193.62867555936194,552.3881579559868,13709.824241878858,2739.557422985715,873.9099134207637,2766.6859417223504,759.0700610856672,135.2265465551413,477.971813694924,5957.40254241425,72467.22121071212,11404.697844089149,4057.884484269652,17006.837353538507,2981.2157579455193,1524.0700947121418,3285.0586028211396,32207.45707333603,1056.7386651882,52.21413311798858,76.53615509902298,85.05898301562071,44.43660948697191,52.47990717604065,193.62867555936194,552.3842017331932,13709.822246183436,2739.557422985715,873.9099134207637,2766.6859417223504,759.0680654553396,135.2265465551413,477.971813694924,5957.4025423491585,72467.22121071212,11404.697844089149,4057.884484269652,17006.837353538507,2981.2157579455193,1524.0700947121418,3285.0586028211396,32207.45707333603,1056.7628926157206,52.21413311798858,76.53615509902298,85.05898301562071,44.43660948697191,52.47990717604065,193.62867555936194,552.408429160714,13709.824241699815,2739.557422985715,873.9099134207637,2766.6859417223504,759.0700610856672,135.2265465551413,477.971813694924,5957.402542235205,72467.22121071212,11404.697844089149,4057.884484269652,17006.837353538507,2981.2157579455193,1524.0700947121418,3285.0586028211396,32207.45707333603,1056.747565153181,52.21413311798858,76.53615509902298,85.05898301562071,44.43660948697191,52.47990717604065,193.62867555936194,552.3931016981743,13709.826350258081,2739.557422985715,873.9099134207637,2766.6859417223504,759.0721495279261,135.2265465551413,477.971813694924,5957.402562351215,72467.22121071212,11404.697844089149,4057.884484269652,17006.837353538507,2981.2157579455193,1524.0700947121418,3285.0586028211396,32207.45707333603,1056.7169108944684,52.21413311798858,76.53615509902298,85.05898301562071,44.43660948697191,52.47990717604065,193.62867555936194,552.3624474394616
2005.0,14284.049965074359,2835.4259513532184,914.3803245181838,2840.18292627184,800.3678087563889,142.7019115447979,513.118421805007,6237.872620824887,75331.55954799973,11724.482294342093,4161.322252091743,17366.505751336164,3151.3503034149967,1546.1026131180538,3538.85174393335,33842.94458976331,1068.782921154642,52.69050553675174,77.43628943138378,85.47935133330321,45.6476999869298,53.870843149165154,196.65017618645047,557.0080555306579,14284.050319468015,2835.4259513532184,914.3803245181838,2840.18292627184,800.3681703114147,142.7019115447979,513.118421805007,6237.87261366352,75331.55954799973,11724.482294342093,4161.322252091743,17366.505751336164,3151.3503034149967,1546.1026131180538,3538.85174393335,33842.94458976331,1068.778952081934,52.69050553675174,77.43628943138378,85.47935133330321,45.6476999869298,53.870843149165154,196.65017618645047,557.0040864579497,14284.048097981968,2835.4259513532184,914.3803245181838,2840.18292627184,800.3659494002368,142.7019115447979,513.118421805007,6237.872613088651,75331.55954799973,11724.482294342093,4161.322252091743,17366.505751336164,3151.3503034149967,1546.1026131180538,3538.85174393335,33842.94458976331,1068.8032671596163,52.69050553675174,77.43628943138378,85.47935133330321,45.6476999869298,53.870843149165154,196.65017618645047,557.0284015356323,14284.050292375248,2835.4259513532184,914.3803245181838,2840.18292627184,800.3681703114147,142.7019115447979,513.118421805007,6237.872586570758,75331.55954799973,11724.482294342093,4161.322252091743,17366.505751336164,3151.3503034149967,1546.1026131180538,3538.85174393335,33842.94458976331,1068.7878834742678,52.69050553675174,77.43628943138378,85.47935133330321,45.6476999869298,53.870843149165154,196.65017618645047,557.0130178502837,14284.05268254931,2835.4259513532184,914.3803245181838,2840.18292627184,800.3704945620443,142.7019115447979,513.118421805007,6237.872652494184,75331.55954799973,11724.482294342093,4161.322252091743,17366.505751336164,3151.3503034149967,1546.1026131180538,3538.85174393335,33842.94458976331,1068.7571183474367,52.69050553675174,77.43628943138378,85.47935133330321,45.6476999869298,53.870843149165154,196.65017618645047,556.9822527234527
2006.0,14951.677498602869,2916.1029066881424,964.575120413064,2945.9544666566785,864.0712206947776,149.7263858834233,553.055208619742,6558.192189647046,78680.9179095889,12040.995555428733,4292.112058430475,17939.92368839643,3378.917173145313,1586.4831389073788,3835.2530588171694,35607.23323646341,1080.9787824105122,53.19038727168274,78.32623415868025,85.9055299510076,47.021510785447894,55.306017022142406,199.59503525111626,561.634067970435,14951.6778931057,2916.1029066881424,964.575120413064,2945.9544666566785,864.0715786176829,149.7263858834233,553.055208619742,6558.192226226969,78680.9179095889,12040.995555428733,4292.112058430475,17939.92368839643,3378.917173145313,1586.4831389073788,3835.2530588171694,35607.23323646341,1080.9747970381825,53.19038727168274,78.32623415868025,85.9055299510076,47.021510785447894,55.306017022142406,199.59503525111626,561.6300825981053,14951.675630758162,2916.1029066881424,964.575120413064,2945.9544666566785,864.0693798251826,149.7263858834233,553.055208619742,6558.19216267193,78680.9179095889,12040.995555428733,4292.112058430475,17939.92368839643,3378.917173145313,1586.4831389073788,3835.2530588171694,35607.23323646341,1080.9992116988421,53.19038727168274,78.32623415868025,85.9055299510076,47.021510785447894,55.306017022142406,199.59503525111626,561.6544972587651,14951.677878725146,2916.1029066881424,964.575120413064,2945.9544666566785,864.0715786176829,149.7263858834233,553.055208619742,6558.1922118464145,78680.9179095889,12040.995555428733,4292.112058430475,17939.92368839643,3378.917173145313,1586.4831389073788,3835.2530588171694,35607.23323646341,1080.9837661707813,53.19038727168274,78.32623415868025,85.9055299510076,47.021510785447894,55.306017022142406,199.59503525111626,561.6390517307042,14951.680086715145,2916.1029066881424,964.575120413064,2945.9544666566785,864.073879693327,149.7263858834233,553.055208619742,6558.1921187607695,78680.9179095889,12040.995555428733,4292.112058430475,17939.92368839643,3378.917173145313,1586.4831389073788,3835.2530588171694,35607.23323646341,1080.9528699516652,53.19038727168274,78.32623415868025,85.9055299510076,47.021510785447894,55.306017022142406,199.59503525111626,561.6081555115879
2007.0,15612.408848263809,2971.0706329381774,1019.709242611978,3046.366580605384,910.9620929274462,159.34948389143668,593.8257669370105,6911.125048352364,82260.98936033498,12327.62657024635,4449.095890733062,18473.843233849566,3686.008547474592,1620.644117291826,4178.544745118737,37525.22625562085,1093.3074563237033,53.70632907224083,79.20590435416979,86.3388082480309,48.535421339462964,56.796827424118995,202.4658331071763,566.2583327785034,15612.409243980528,2971.0706329381774,1019.709242611978,3046.366580605384,910.9624644175273,159.34948389143668,593.8257669370105,6911.125072579006,82260.98936033498,12327.62657024635,4449.095890733062,18473.843233849566,3686.008547474592,1620.644117291826,4178.544745118737,37525.22625562085,1093.3034543802523,53.70632907224083,79.20590435416979,86.3388082480309,48.535421339462964,56.796827424118995,202.4658331071763,566.2543308350524,15612.407012139029,2971.0706329381774,1019.709242611978,3046.366580605384,910.9601823005969,159.34948389143668,593.8257669370105,6911.125122854432,82260.98936033498,12327.62657024635,4449.095890733062,18473.843233849566,3686.008547474592,1620.644117291826,4178.544745118737,37525.22625562085,1093.3279719978518,53.70632907224083,79.20590435416979,86.3388082480309,48.535421339462964,56.796827424118995,202.4658331071763,566.2788484526519,15612.409222898406,2971.0706329381774,1019.709242611978,3046.366580605384,910.9624644175273,159.34948389143668,593.8257669370105,6911.12505149688,82260.98936033498,12327.62657024635,4449.095890733062,18473.843233849566,3686.008547474592,1620.644117291826,4178.544745118737,37525.22625562085,1093.3124597150454,53.70632907224083,79.20590435416979,86.3388082480309,48.535421339462964,56.796827424118995,202.4658331071763,566.2633361698455,15612.411586932345,2971.0706329381774,1019.709242611978,3046.366580605384,910.9648527010888,159.34948389143668,593.8257669370105,6911.12502724726,82260.98936033498,12327.62657024635,4449.095890733062,18473.843233849566,3686.008547474592,1620.644117291826,4178.544745118737,37525.22625562085,1093.2814377226443,53.70632907224083,79.20590435416979,86.3388082480309,48.535421339462964,56.796827424118995,202.4658331071763,566.2323141774444
2008.0,15905.249527337422,2968.472709553161,1059.9640556871566,3067.095109980944,961.8011744767964,167.79201866535504,616.0705110876852,7064.053947886347,85671.18714516277,12559.160320223873,4612.121057635489,18754.730408577376,4016.9955273374408,1657.4576067750518,4523.8214956225875,39546.90072899096,1105.7036085304683,54.2281629896183,80.0757436049757,86.7718179652791,50.13313433840185,58.33554243070507,205.27154825398873,570.8876589474994,15905.249852737103,2968.472709553161,1059.9640556871566,3067.095109980944,961.8015735663457,167.79201866535504,616.0705110876852,7064.053874196481,85671.18714516277,12559.160320223873,4612.121057635489,18754.730408577376,4016.9955273374408,1657.4576067750518,4523.8214956225875,39546.90072899096,1105.6995902948115,54.2281629896183,80.0757436049757,86.7718179652791,50.13313433840185,58.33554243070507,205.27154825398873,570.8836407118426,15905.247447040208,2968.472709553161,1059.9640556871566,3067.095109980944,961.799121947962,167.79201866535504,616.0705110876852,7064.053920117971,85671.18714516277,12559.160320223873,4612.121057635489,18754.730408577376,4016.9955273374408,1657.4576067750518,4523.8214956225875,39546.90072899096,1105.724193480633,54.2281629896183,80.0757436049757,86.7718179652791,50.13313433840185,58.33554243070507,205.27154825398873,570.9082438976642,15905.249874703528,2968.472709553161,1059.9640556871566,3067.095109980944,961.8015735663457,167.79201866535504,616.0705110876852,7064.053896162909,85671.18714516277,12559.160320223873,4612.121057635489,18754.730408577376,4016.9955273374408,1657.4576067750518,4523.8214956225875,39546.90072899096,1105.708627983532,54.2281629896183,80.0757436049757,86.7718179652791,50.13313433840185,58.33554243070507,205.27154825398873,570.8926784005633,15905.25246431268,2968.472709553161,1059.9640556871566,3067.095109980944,961.8041392512923,167.79201866535504,616.0705110876852,7064.053920087115,85671.18714516277,12559.160320223873,4612.121057635489,18754.730408577376,4016.9955273374408,1657.4576067750518,4523.8214956225875,39546.90072899096,1105.6774988888055,54.2281629896183,80.0757436049757,86.7718179652791,50.13313433840185,58.33554243070507,205.27154825398873,570.8615493058368
2009.0,15748.597049251739,2892.629735119032,1038.487035332139,2930.114283423714,962.47867161601,173.52623980778168,657.8029400512121,7093.5581439018015,89226.62462928865,12678.624443753522,4752.9682046512935,19069.837405055692,4326.922150274235,1696.0533554049139,4891.980529713844,41810.23854043513,1118.0868627703494,54.740635871860505,80.9394366921438,87.19849506390142,51.72529875624582,59.91444034151935,208.02639489855144,575.5421611461272,15748.597466841735,2892.629735119032,1038.487035332139,2930.114283423714,962.4791050477083,173.52623980778168,657.8029400512121,7093.558128060098,89226.62462928865,12678.624443753522,4752.9682046512935,19069.837405055692,4326.922150274235,1696.0533554049139,4891.980529713844,41810.23854043513,1118.0828320205173,54.740635871860505,80.9394366921438,87.19849506390142,51.72529875624582,59.91444034151935,208.02639489855144,575.5381303962951,15748.594862225567,2892.629735119032,1038.487035332139,2930.114283423714,962.4764426928878,173.52623980778168,657.8029400512121,7093.558185798751,89226.62462928865,12678.624443753522,4752.9682046512935,19069.837405055692,4326.922150274235,1696.0533554049139,4891.980529713844,41810.23854043513,1118.107522185953,54.740635871860505,80.9394366921438,87.19849506390142,51.72529875624582,59.91444034151935,208.02639489855144,575.5628205617309,15748.597499682426,2892.629735119032,1038.487035332139,2930.114283423714,962.4791050477083,173.52623980778168,657.8029400512121,7093.558160900788,89226.62462928865,12678.624443753522,4752.9682046512935,19069.837405055692,4326.922150274235,1696.0533554049139,4891.980529713844,41810.23854043513,1118.0919023665103,54.740635871860505,80.9394366921438,87.19849506390142,51.72529875624582,59.91444034151935,208.02639489855144,575.547200742288,15748.60027396235,2892.629735119032,1038.487035332139,2930.114283423714,962.4818912261404,173.52623980778168,657.8029400512121,7093.558149002283,89226.62462928865,12678.624443753522,4752.9682046512935,19069.837405055692,4326.922150274235,1696.0533554049139,4891.980529713844,41810.23854043513,1118.0606624513798,54.740635871860505,80.9394366921438,87.19849506390142,51.72529875624582,59.91444034151935,208.02639489855144,575.5159608271575
