Time,Global pop ssp126,Global pop ssp245,Global pop ssp370,Global pop ssp460,Global pop ssp585
1950.0,2499.322157,2499.322157,2499.322157,2499.322157,2499.322157
1951.0,2543.13038,2543.13038,2543.13038,2543.13038,2543.13038
1952.0,2590.270899,2590.270899,2590.270899,2590.270899,2590.270899
1953.0,2640.278797,2640.278797,2640.278797,2640.278797,2640.278797
1954.0,2691.979339,2691.979339,2691.979339,2691.979339,2691.979339
1955.0,2746.072141,2746.072141,2746.072141,2746.072141,2746.072141
1956.0,2801.0026310000003,2801.0026310000003,2801.0026310000003,2801.0026310000003,2801.0026310000003
1957.0,2857.866857,2857.866857,2857.866857,2857.866857,2857.866857
1958.0,2916.1080970000003,2916.1080970000003,2916.1080970000003,2916.1080970000003,2916.1080970000003
1959.0,2970.2921880000004,2970.2921880000004,2970.2921880000004,2970.2921880000004,2970.2921880000004
1960.0,3019.2334339999998,3019.2334339999998,3019.2334339999998,3019.2334339999998,3019.2334339999998
1961.0,3068.370609,3068.370609,3068.370609,3068.370609,3068.370609
1962.0,3126.6867429999998,3126.6867429999998,3126.6867429999998,3126.6867429999998,3126.6867429999998
1963.0,3195.779247,3195.779247,3195.779247,3195.779247,3195.779247
1964.0,3267.2123380000003,3267.2123380000003,3267.2123380000003,3267.2123380000003,3267.2123380000003
1965.0,3337.1119830000002,3337.1119830000002,3337.1119830000002,3337.1119830000002,3337.1119830000002
1966.0,3406.417036,3406.417036,3406.417036,3406.417036,3406.417036
1967.0,3475.448166,3475.448166,3475.448166,3475.448166,3475.448166
1968.0,3546.810808,3546.810808,3546.810808,3546.810808,3546.810808
1969.0,3620.655275,3620.655275,3620.655275,3620.655275,3620.655275
1970.0,3695.3903360000004,3695.3903360000004,3695.3903360000004,3695.3903360000004,3695.3903360000004
1971.0,3770.1630920000002,3770.1630920000002,3770.1630920000002,3770.1630920000002,3770.1630920000002
1972.0,3844.8008849999997,3844.8008849999997,3844.8008849999997,3844.8008849999997,3844.8008849999997
1973.0,3920.2515040000003,3920.2515040000003,3920.2515040000003,3920.2515040000003,3920.2515040000003
1974.0,3995.517077,3995.517077,3995.517077,3995.517077,3995.517077
1975.0,4069.4372310000003,4069.4372310000003,4069.4372310000003,4069.4372310000003,4069.4372310000003
1976.0,4142.505882,4142.505882,4142.505882,4142.505882,4142.505882
1977.0,4215.77249,4215.77249,4215.77249,4215.77249,4215.77249
1978.0,4289.657708,4289.657708,4289.657708,4289.657708,4289.657708
1979.0,4365.5828710000005,4365.5828710000005,4365.5828710000005,4365.5828710000005,4365.5828710000005
1980.0,4444.007706,4444.007706,4444.007706,4444.007706,4444.007706
1981.0,4524.627658,4524.627658,4524.627658,4524.627658,4524.627658
1982.0,4607.984871000001,4607.984871000001,4607.984871000001,4607.984871000001,4607.984871000001
1983.0,4691.884238,4691.884238,4691.884238,4691.884238,4691.884238
1984.0,4775.836074,4775.836074,4775.836074,4775.836074,4775.836074
1985.0,4861.730613,4861.730613,4861.730613,4861.730613,4861.730613
1986.0,4950.063338999999,4950.063338999999,4950.063338999999,4950.063338999999,4950.063338999999
1987.0,5040.984495000001,5040.984495000001,5040.984495000001,5040.984495000001,5040.984495000001
1988.0,5132.293974,5132.293974,5132.293974,5132.293974,5132.293974
1989.0,5223.704308,5223.704308,5223.704308,5223.704308,5223.704308
1990.0,5316.175862,5316.175862,5316.175862,5316.175862,5316.175862
1991.0,5406.245867,5406.245867,5406.245867,5406.245867,5406.245867
1992.0,5492.686093,5492.686093,5492.686093,5492.686093,5492.686093
1993.0,5577.433523000001,5577.433523000001,5577.433523000001,5577.433523000001,5577.433523000001
1994.0,5660.7279929999995,5660.7279929999995,5660.7279929999995,5660.7279929999995,5660.7279929999995
1995.0,5743.219454,5743.219454,5743.219454,5743.219454,5743.219454
1996.0,5825.145298,5825.145298,5825.145298,5825.145298,5825.145298
1997.0,5906.481261,5906.481261,5906.481261,5906.481261,5906.481261
1998.0,5987.3124800000005,5987.3124800000005,5987.3124800000005,5987.3124800000005,5987.3124800000005
1999.0,6067.758457999999,6067.758457999999,6067.758457999999,6067.758457999999,6067.758457999999
2000.0,6148.898975,6148.898975,6148.898975,6148.898975,6148.898975
2001.0,6230.746982,6230.746982,6230.746982,6230.746982,6230.746982
2002.0,6312.40736,6312.40736,6312.40736,6312.40736,6312.40736
2003.0,6393.898365,6393.898365,6393.898365,6393.898365,6393.898365
2004.0,6475.751478,6475.751478,6475.751478,6475.751478,6475.751478
2005.0,6558.176119,6558.176119,6558.176119,6558.176119,6558.176119
2006.0,6641.416218,6641.416218,6641.416218,6641.416218,6641.416218
2007.0,6725.948544,6725.948544,6725.948544,6725.948544,6725.948544
2008.0,6811.597272,6811.597272,6811.597272,6811.597272,6811.597272
2009.0,6898.305908,6898.305908,6898.305908,6898.305908,6898.305908
2010.0,6985.603105,6985.603105,6985.603105,6985.603105,6985.603105
2011.0,7073.125425,7073.125425,7073.125425,7073.125425,7073.125425
2012.0,7161.697921,7161.697921,7161.697921,7161.697921,7161.697921
2013.0,7250.5933700000005,7250.5933700000005,7250.5933700000005,7250.5933700000005,7250.5933700000005
2014.0,7339.013419,7339.013419,7339.013419,7339.013419,7339.013419
2015.0,7404.946306098426,7430.633180624999,7463.156797916666,7398.122823649528,7390.108054583334
2016.0,7476.065564068111,7506.889813499999,7547.0447214999995,7467.877385129433,7457.577651166666
2017.0,7547.184822037797,7583.146446374999,7630.932645083333,7537.631946609338,7525.04724775
2018.0,7618.304080007482,7659.40307925,7714.820568666666,7607.386508089245,7592.516844333334
2019.0,7689.423337977168,7735.659712125,7798.70849225,7677.14106956915,7659.986440916667
2020.0,7760.542595946853,7811.916345,7882.596415833333,7746.895631049056,7727.4560375
2021.0,7814.698588972742,7878.5742449375,7966.351912833333,7803.207977873992,7778.976658
2022.0,7868.85458199863,7945.232144874999,8050.107409833333,7859.520324698928,7830.4972785
2023.0,7923.01057502452,8011.890044812499,8133.862906833333,7915.832671523863,7882.0178989999995
2024.0,7977.166568050409,8078.547944749999,8217.618403833332,7972.145018348799,7933.538519500001
2025.0,8031.322561076298,8145.2058446875,8301.373900833332,8028.4573651737355,7985.05914
2026.0,8085.4785541021865,8211.863744625,8385.129397833332,8084.7697119986715,8036.5797605
2027.0,8139.634547128076,8278.5216445625,8468.884894833333,8141.082058823608,8088.100381
2028.0,8193.790540153965,8345.179544499999,8552.640391833333,8197.394405648543,8139.6210015
2029.0,8247.946533179855,8411.8374444375,8636.39588883333,8253.70675247348,8191.141622
2030.0,8302.102526205743,8478.495344374998,8720.151385833333,8310.019099298415,8242.6622425
2031.0,8340.050852865914,8532.164241874998,8796.555360749999,8350.716116001766,8278.616557
2032.0,8377.999179526085,8585.833139375,8872.959335666666,8391.413132705115,8314.5708715
2033.0,8415.947506186256,8639.502036875,8949.363310583332,8432.110149408465,8350.525186
2034.0,8453.895832846429,8693.170934374999,9025.767285499998,8472.807166111814,8386.4795005
2035.0,8491.844159506598,8746.839831874999,9102.171260416666,8513.504182815164,8422.433815
2036.0,8529.79248616677,8800.508729375,9178.575235333332,8554.201199518513,8458.3881295
2037.0,8567.740812826942,8854.177626874998,9254.979210249998,8594.898216221864,8494.342444
2038.0,8605.689139487113,8907.846524374998,9331.383185166665,8635.595232925212,8530.2967585
2039.0,8643.637466147284,8961.515421875,9407.787160083333,8676.292249628563,8566.251073
2040.0,8681.585792807457,9015.184319375,9484.191135,8716.989266331911,8602.2053875
2041.0,8700.211047781328,9054.078336437498,9556.458883,8742.612515727562,8620.477468
2042.0,8718.836302755199,9092.9723535,9628.726630999998,8768.235765123218,8638.749548499998
2043.0,8737.461557729072,9131.866370562499,9700.994378999998,8793.859014518868,8657.021629
2044.0,8756.086812702943,9170.760387625,9773.262126999998,8819.48226391452,8675.2937095
2045.0,8774.712067676815,9209.654404687499,9845.529875,8845.105513310173,8693.565789999999
2046.0,8793.337322650688,9248.54842175,9917.797622999999,8870.728762705825,8711.837870499998
2047.0,8811.96257762456,9287.442438812499,9990.065370999999,8896.352012101477,8730.109950999997
2048.0,8830.58783259843,9326.336455875,10062.333118999999,8921.97526149713,8748.3820315
2049.0,8849.213087572303,9365.2304729375,10134.600867,8947.598510892782,8766.654111999998
2050.0,8867.838342546174,9404.12449,10206.868615,8973.221760288434,8784.926192499997
2051.0,8867.38925817868,9425.848632124998,10270.884139249998,8982.229339668505,8786.26586408333
2052.0,8866.940173811185,9447.572774249998,10334.899663499998,8991.236919048575,8787.605535666666
2053.0,8866.491089443689,9469.296916375,10398.915187749999,9000.244498428643,8788.945207249999
2054.0,8866.042005076193,9491.0210585,10462.930711999998,9009.252077808716,8790.28487883333
2055.0,8865.592920708697,9512.745200624999,10526.946236249998,9018.259657188786,8791.624550416664
2056.0,8865.143836341202,9534.469342749999,10590.961760499998,9027.267236568856,8792.964221999999
2057.0,8864.694751973706,9556.193484874999,10654.977284749999,9036.274815948927,8794.303893583332
2058.0,8864.24566760621,9577.917627,10718.992808999998,9045.282395328995,8795.643565166665
2059.0,8863.796583238714,9599.641769124999,10783.008333249998,9054.289974709067,8796.983236749998
2060.0,8863.347498871219,9621.365911249999,10847.023857499998,9063.297554089138,8798.322908333332
2061.0,8846.532300967423,9628.265926812499,10903.753425499997,9058.304995739256,8785.090530749998
2062.0,8829.717103063631,9635.165942374999,10960.482993499998,9053.312437389375,8771.858153166666
2063.0,8812.901905159833,9642.065957937499,11017.212561499997,9048.319879039493,8758.625775583332
2064.0,8796.08670725604,9648.965973499999,11073.942129499997,9043.327320689612,8745.393397999998
2065.0,8779.271509352244,9655.865989062499,11130.671697499996,9038.33476233973,8732.161020416666
2066.0,8762.456311448448,9662.766004624998,11187.401265499999,9033.342203989849,8718.928642833333
2067.0,8745.641113544654,9669.666020187498,11244.130833499998,9028.349645639968,8705.696265249999
2068.0,8728.82591564086,9676.566035749998,11300.860401499998,9023.357087290085,8692.463887666665
2069.0,8712.010717737065,9683.466051312496,11357.589969499997,9018.364528940205,8679.231510083333
2070.0,8695.195519833269,9690.366066874998,11414.319537499998,9013.371970590322,8665.9991325
2071.0,8663.483106678703,9684.801926124997,11468.362382333331,8998.888143716711,8639.871680916665
2072.0,8631.770693524135,9679.237785374999,11522.405227166664,8984.404316843096,8613.744229333332
2073.0,8600.058280369567,9673.673644624998,11576.448071999997,8969.920489969483,8587.61677775
2074.0,8568.345867215,9668.109503874997,11630.490916833329,8955.436663095868,8561.489326166666
2075.0,8536.633454060433,9662.545363124998,11684.533761666664,8940.952836222257,8535.361874583332
2076.0,8504.921040905867,9656.981222374998,11738.576606499997,8926.469009348642,8509.234422999998
2077.0,8473.208627751299,9651.417081624999,11792.61945133333,8911.985182475028,8483.106971416666
