Time,Global GDP SSP1-2.6,Coastal GDP (global) SSP1-2.6,Coastal GDP (badly protected) SSP1-2.6,Coastal GDP (well protected) SSP1-2.6,Coastal GDP (North America) SSP1-2.6,Coastal GDP (Latin America and Caribbean) SSP1-2.6,Coastal GDP (Europe and Central Asia) SSP1-2.6,Coastal GDP (Middle East and North Africa) SSP1-2.6,Coastal GDP (Sub-Saharan Africa) SSP1-2.6,Coastal GDP (South Asia) SSP1-2.6,Coastal GDP (East Asia and Pacific) SSP1-2.6,Global pop SSP1-2.6,Coastal pop (global) SSP1-2.6,Coastal pop (badly protected) SSP1-2.6,Coastal pop (well protected) SSP1-2.6,Coastal pop (North America) SSP1-2.6,Coastal pop (Latin America and Caribbean) SSP1-2.6,Coastal pop (Europe and Central Asia) SSP1-2.6,Coastal pop (Middle East and North Africa) SSP1-2.6,Coastal pop (Sub-Saharan Africa) SSP1-2.6,Coastal pop (South Asia) SSP1-2.6,Coastal pop (East Asia and Pacific) SSP1-2.6,Global GDP SSP2-4.5,Coastal GDP (global) SSP2-4.5,Coastal GDP (badly protected) SSP2-4.5,Coastal GDP (well protected) SSP2-4.5,Coastal GDP (North America) SSP2-4.5,Coastal GDP (Latin America and Caribbean) SSP2-4.5,Coastal GDP (Europe and Central Asia) SSP2-4.5,Coastal GDP (Middle East and North Africa) SSP2-4.5,Coastal GDP (Sub-Saharan Africa) SSP2-4.5,Coastal GDP (South Asia) SSP2-4.5,Coastal GDP (East Asia and Pacific) SSP2-4.5,Global pop SSP2-4.5,Coastal pop (global) SSP2-4.5,Coastal pop (badly protected) SSP2-4.5,Coastal pop (well protected) SSP2-4.5,Coastal pop (North America) SSP2-4.5,Coastal pop (Latin America and Caribbean) SSP2-4.5,Coastal pop (Europe and Central Asia) SSP2-4.5,Coastal pop (Middle East and North Africa) SSP2-4.5,Coastal pop (Sub-Saharan Africa) SSP2-4.5,Coastal pop (South Asia) SSP2-4.5,Coastal pop (East Asia and Pacific) SSP2-4.5,Global GDP SSP5-8.5,Coastal GDP (global) SSP5-8.5,Coastal GDP (badly protected) SSP5-8.5,Coastal GDP (well protected) SSP5-8.5,Coastal GDP (North America) SSP5-8.5,Coastal GDP (Latin America and Caribbean) SSP5-8.5,Coastal GDP (Europe and Central Asia) SSP5-8.5,Coastal GDP (Middle East and North Africa) SSP5-8.5,Coastal GDP (Sub-Saharan Africa) SSP5-8.5,Coastal GDP (South Asia) SSP5-8.5,Coastal GDP (East Asia and Pacific) SSP5-8.5,Global pop SSP5-8.5,Coastal pop (global) SSP5-8.5,Coastal pop (badly protected) SSP5-8.5,Coastal pop (well protected) SSP5-8.5,Coastal pop (North America) SSP5-8.5,Coastal pop (Latin America and Caribbean) SSP5-8.5,Coastal pop (Europe and Central Asia) SSP5-8.5,Coastal pop (Middle East and North Africa) SSP5-8.5,Coastal pop (Sub-Saharan Africa) SSP5-8.5,Coastal pop (South Asia) SSP5-8.5,Coastal pop (East Asia and Pacific) SSP5-8.5
2010.0,74607.49622467472,9693.231394370136,2370.752173587893,7322.479220782261,2504.8478640075623,707.6961341546167,2765.295160007142,258.9254091473894,92.2175889185273,233.50300773212646,3130.7462304028018,6886.2948903125,575.610658200999,342.61715601000014,232.99350219099964,54.45163038099994,59.45196076299999,89.72031229699999,26.097613374999998,40.232562451,70.09603860099999,235.56054033299986,74596.00259957704,9693.231394370136,2370.752173587893,7322.479220782261,2504.8478640075623,707.6961341546167,2765.295160007142,258.9254091473894,92.2175889185273,233.50300773212646,3130.7462304028018,6886.291290312499,575.610658200999,342.61715601000014,232.99350219099964,54.45163038099994,59.45196076299999,89.72031229699999,26.097613374999998,40.232562451,70.09603860099999,235.56054033299986,74373.43481137816,9693.231394370136,2370.752173587893,7322.479220782261,2504.8478640075623,707.6961341546167,2765.295160007142,258.9254091473894,92.2175889185273,233.50300773212646,3130.7462304028018,6891.005612890625,575.610658200999,342.61715601000014,232.99350219099964,54.45163038099994,59.45196076299999,89.72031229699999,26.097613374999998,40.232562451,70.09603860099999,235.56054033299986
2011.0,78324.00859256518,10059.146763503744,2565.3791937341116,7493.767569769674,2552.3156038464463,734.9391875380949,2847.7575273701473,270.77623178859216,98.31321680128886,264.7880882115522,3290.256907947667,6951.316486890625,580.3230161441323,345.8089948220546,234.51402132208042,54.92636454470494,59.85151463996143,90.15944957493728,26.455695353482817,41.04278128869477,70.85161345901919,237.0355972833337,78297.53742691573,10052.530381581686,2559.8706967412722,7492.659684840448,2553.013763127003,734.0871847177714,2847.192892921471,270.6261450632328,97.65866021665772,262.54231233991663,3287.409423195639,6960.8027443437495,580.8557487243362,346.32061270986253,234.5351360144742,54.90899439261727,59.929134462363685,90.1472673833585,26.495523170888422,41.1677765184133,70.99875840320024,237.20829439349598,78279.54810928606,10076.138932724733,2569.4672794487187,7506.6716532760365,2557.5400093997964,735.4125074906173,2852.5824938794117,271.4410650678546,98.45786134753376,265.25095816599315,3295.4540373735795,6956.9516865625,580.547433563599,345.7635697705578,234.78386379304206,55.03929691252006,59.822816592631895,90.27979532685606,26.459826900576466,41.02950723107515,70.83834186707051,237.07784873286948
2012.0,82040.52096045564,10429.038756620277,2762.0663718349497,7666.972384785364,2600.2292335720945,762.4882928030191,2930.884959944424,282.8624005392541,104.58223287932113,296.70436903501303,3451.2872678472017,7016.33808346875,585.0353740872686,349.0008336341067,236.0345404531617,55.40109870840995,60.25106851692265,90.59858685287482,26.813777331965685,41.85300012638952,71.60718831703839,238.51065423366742,81999.07225425442,10415.970737045169,2751.2223444516935,7664.74839259341,2601.634373979659,760.8098242847149,2929.719135896878,282.56705808152253,103.25582985402055,292.26335906637337,3445.7211558819745,7035.314198374999,586.1008392476743,350.0240694097247,236.07676983794917,55.366358404234504,60.40630816172744,90.57422246971667,26.89343296677681,42.1029905858267,71.90147820540061,238.85604845399106,82185.66140719397,10463.456577531057,2770.288980450046,7693.167597081008,2610.7841099973143,763.4256221592525,2940.7319352944073,284.2151354582961,104.87636381082002,297.63674966328847,3461.786661147667,7022.897760234376,585.4842089262008,348.9099835311159,236.5742253950842,55.62696344404009,60.193672422263845,90.83927835671253,26.822040426152924,41.82645201115032,71.58064513314112,238.5951571327389
2013.0,85757.03332834611,10802.907373719712,2960.8137078904215,7842.093665829344,2648.5887531845037,790.3434499493846,3014.6774577299307,295.1839153993747,111.02463715262448,329.25185020250717,3613.837310101414,7081.359680046875,589.7477320304037,352.19267244616134,237.55505958424183,55.87583287211483,60.65062239388402,91.03772413081282,27.171859310448497,42.66321896408422,72.36276317505755,239.9857111840016,85700.60708159312,10783.55246076042,2944.8071167191897,7838.745344041259,2650.709696565532,787.8640528554458,3012.8738889333326,294.74814820225834,109.00909783061566,322.66614791149476,3605.6814284617703,7109.825652406249,591.3459297710104,353.727526109588,237.61840366142386,55.82372241585179,60.88348186109117,91.00117755607523,27.29134276266523,43.038204653239994,72.80419800760099,240.5038025144876,86091.77470510187,10855.184328788982,2973.217276591855,7881.967052197131,2664.580165800131,791.7354781605253,3029.7434842521116,297.24762031871495,111.47309630838683,330.66038222401266,3629.7441017250867,7088.84383390625,590.4209842888008,352.056397291674,238.36458699712614,56.214629975560136,60.564528251895794,91.39876138656834,27.18425395172936,42.62339679122536,72.32294839921155,240.11246553260892
2014.0,89473.54569623657,11180.752614802104,3161.621201900533,8019.131412901559,2697.3941626836613,818.5046589771973,3099.135020726697,307.7407763689549,117.64042962119855,362.43053171403693,3777.90703471031,7146.381276624999,594.4600899735368,355.3845112582157,239.0755787153222,56.35056703581977,61.050176270845455,91.47686140875038,27.52994128893137,43.473437801779006,73.11833803307674,241.46076813433518,89402.14190893181,11155.275552727662,3140.625013543711,8014.650539183898,2700.2397308846203,815.2498704299682,3096.657152030864,307.16941542543964,114.91846414644309,353.75067887528144,3767.290240935018,7184.3371064375,596.5910202943521,357.4309828094511,239.1600374848979,56.28108642746911,61.36065556045491,91.4281326424336,27.689252558553626,43.9734187206534,73.70691780980144,242.15155657498235,89997.88800300975,11251.322186498439,3178.252167874144,8073.070018624407,2718.9281768082415,820.342075494439,3119.6171407525258,310.53851964911024,118.24805884023345,364.32185584816784,3799.326359105821,7154.789907578125,595.3577596514019,355.20281105223125,240.1549485991682,56.80229650708015,60.93538408152767,91.9582444164249,27.546467477305814,43.420341571300476,73.06525166528225,241.6297739324788
2015.0,93190.05806412704,11562.574479867342,3364.4888538652567,8198.085626002043,2746.6454620695868,846.9719198864576,3184.2576489347352,320.5329834479942,124.42961028504355,396.24041356959924,3943.4964416739035,7211.402873203125,599.1724479166738,358.57635007026875,240.59609784640355,56.82530119952466,61.449730147806825,91.91599868668804,27.888023267414184,44.28365663947374,73.87391289109608,242.93582508466875,93103.6767362705,11531.140012946726,3338.6760349253004,8192.463978021431,2750.224476936925,842.967277008279,3181.068925189442,319.83085975106775,120.98392880150291,385.5169519577355,3930.5475933017415,7258.84856046875,601.8361108176873,361.134439509313,240.7016713083728,56.7384504390864,61.83782925981865,91.85508772879209,28.087162354442082,44.908632788066704,74.60963761200173,243.79931063547915,93904.00130091766,11651.870150659826,3385.393654296922,8266.476496362842,2773.828143021644,849.2454141609893,3210.3529047956476,324.0878334494818,125.2012514063603,398.62117053575014,3970.5334332898865,7220.73598125,600.2945350139986,358.34922481279045,241.94531020121025,57.38996303860023,61.306239911159686,92.51772744628109,27.90868100288226,44.21728635137561,73.80755493135253,243.14708233234802
2016.0,96906.5704320175,11948.372968915488,3569.4166637846297,8378.956305130838,2796.3426513422633,875.7452326771619,3270.0453423540184,333.5605366364924,131.39217914415934,430.6814957691979,4110.605530992175,7276.42446978125,603.8848058598048,361.76818888232447,242.11661697748474,57.30003536322963,61.849284024768075,92.35513596462549,28.246105245897002,45.09387547716853,74.62948774911533,244.4108820350031,96805.21156360919,11911.145841417765,3538.960180863904,8372.185660553761,2800.6639347224445,871.0162725903789,3266.1092084091065,332.7324811791422,127.20549179579501,417.96496715885445,4095.453485561921,7333.3600145,607.0812013410233,364.83789620917514,242.24330513184725,57.195814450703644,62.315002959182436,92.28204281515062,28.4850721503305,45.843846855480066,75.512357414202,245.44706469597457,97810.11459882556,12056.82822127272,3594.64173586018,8462.18648541244,2829.2800644403314,878.4454941601788,3301.9507763814895,337.89556171983094,132.33267400676723,433.5583262867626,4143.365324277266,7286.6820549218755,605.2313103766038,361.495638573348,243.73567180325196,57.9776295701202,61.67709574079154,93.0772104761372,28.270894528458722,45.01423113145074,74.54985819742342,244.66439073221838
2017.0,100623.08279990796,12338.148081946474,3776.404631658618,8561.743450287866,2846.4857305017103,904.8245973493123,3356.498100984558,346.8234359344495,138.52813619854615,465.75377831282975,4279.23430266511,7341.4460663593745,608.5971638029396,364.9600276943768,243.6371361085656,57.77476952693446,62.248837901729495,92.79427324256312,28.604187224379874,45.90409431486327,75.38506260713443,245.8859389853363,100506.74639094787,12295.293038140435,3741.4774513596044,8553.815586780904,2851.5581042411904,899.3968571762694,3351.7780016898178,345.87427970966286,133.58315312931958,451.0947244786391,4262.007917715605,7407.87146853125,612.3262918643628,368.54135290903827,243.78493895532188,57.653178462320874,62.792176658546126,92.7089979015084,28.882981946218894,46.77906092289339,76.41507721640237,247.09481875647006,101716.22789673347,12466.196398337206,3805.9964125639244,8660.199985773244,2885.2839410643323,907.942315492003,3394.4107555100386,351.96170446015634,139.64232664145416,469.13332310120404,4317.822032067984,7352.62812859375,610.1680857391981,364.6420523339062,245.52603340529427,58.565296101640335,62.04795157042345,93.63669350599362,28.633108054035134,45.81117591152585,75.29216146349377,246.18169913208732
2018.0,104339.59516779843,12731.899818960497,3985.4527574872423,8746.447061473216,2897.0746995479044,934.2100139029063,3443.615924826342,360.32168134186594,145.83748144820362,501.45726120049596,4449.382756692747,7406.4676629375,613.309521746078,368.1518665064326,245.15765523964558,58.24950369063943,62.64839177869088,93.23341052050091,28.962269202862682,46.714313152558006,76.14063746515382,247.3609959356712,104208.28121828657,12683.581603115177,3946.227846412296,8737.353756702925,2902.9069854931463,928.109030765948,3438.075305031598,359.2562553426287,140.11691280207617,484.90622391708945,4430.210889762727,7482.3829225625,617.5713823876988,372.24480960890077,245.3265727787967,58.11054247393807,63.26935035790987,93.13595298786754,29.280891742107297,47.71427499030681,77.31779701860295,248.74257281696558,105622.34119464135,12879.974681853417,4019.457684408157,8860.5169974452,2941.8397728936166,937.7358781564678,3487.732842181313,366.2862616704581,147.13020931042115,505.34616097907616,4493.9035566620105,7418.574202265625,615.1048611018006,367.78846609446464,247.3163950073359,59.15296263316034,62.41880740005538,94.19617653584996,28.995321579611606,46.608120691600945,76.03446472956439,247.69900753195734
2019.0,108056.10753568889,13129.628179957273,4196.561041270501,8933.067138686805,2948.10955848086,963.9014823379474,3531.39881387939,374.05527285874126,153.32021489313226,537.7919444321966,4621.050893075051,7471.489259515624,618.0218796892095,371.3437053184853,246.67817437072637,58.72423785434444,63.04794565565236,93.67254779843839,29.320351181345515,47.524531990252726,76.89621232317297,248.83605288600364,107909.81604562527,13076.011536341879,4153.2113660220475,8922.800170319764,2954.710578478326,957.1527933594168,3525.001118434449,372.8784080780413,146.80677081406543,519.3994654742065,4600.06240170332,7556.894376593751,622.8164729110346,375.94826630876275,246.86820660227173,58.56790648555551,63.74652405727341,93.56290807422555,29.678801537995657,48.64948905772012,78.22051682080324,250.3903268774617,109528.45449254925,13298.163071821187,4235.0255513928805,9063.137520428309,2998.9475599281946,967.8261821535701,3581.9170363952876,380.8692333507366,154.79632201366837,542.1968399203756,4671.609898059369,7484.520275937501,620.041636464401,370.9348798550217,249.10675660937835,59.74062916468031,62.78966322968734,94.75565956570581,29.357535105188074,47.405065471676124,76.77676799563488,249.2163159318271
