Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,1.707058284394232,2.2236185422504633,360757.8056826229,-11978.362178312338,0.025281061819515244,0.010225130419555035,3176.0048676629012,826.2860552042632
10-20,1.7427238706024182,2.232877038769779,119825.55085428766,-3818.0069272379587,0.026994102887382604,0.0104682170174957,1074.986216088449,282.22564459739664
20-30,2.0309898050767448,2.229808432756482,69537.44742951721,-1474.956516633366,0.033442226627869824,0.009389083367061537,550.8585874454435,160.71779532634574
30-40,2.203804549505169,2.1284298335792835,68148.39598169121,-1167.6133280373115,0.02265002046731364,0.005290218908791668,310.4126018594119,99.19461503295919
40-50,1.4112977823272823,2.202962612799688,56220.233760259434,-3430.9774494875164,0.03351505289047971,0.016652186708780436,806.736785651546,265.9115317165132
50-60,1.8962535864061347,2.4236211337255167,35021.7544150472,-620.3870340922111,0.024141531099498247,0.008314392481336301,235.43597694469997,57.942087551835534
60-70,2.0491407321860216,2.3062541704907646,36635.043537309735,-562.1672137439546,0.04544159490472133,0.013240206802727863,411.13670000725324,105.47352691682039
70-80,2.911412519022898,2.8249574470152727,23770.35324435213,142.08691882888596,0.0997520233883101,0.01569239782658522,348.45899612228385,70.54566363432846
80-90,2.0054818929530067,2.83026189867176,35202.27997590126,-195.12636329618766,0.024728208194016593,0.009494943232207943,273.30696819593,40.44240429207822
90-100,2.212373199564166,2.113232487220897,14735.88782168218,-418.4584236140734,0.11807798705369696,0.02623199919531292,309.2224277421825,118.34233772641429
