Region,k,x0,A,c,k SD,x0 SD,A SD,c SD
0-10,0.5870310210923789,1.1959793333888225,0.5686108460916242,-0.05884428816983605,0.005347948216621741,0.009409344082688875,0.004769755306789438,0.0030371689577959647
10-20,0.5493104844195624,0.8999687120405399,0.639440645247999,-0.0903894291147544,0.012855715368203312,0.03607076901644507,0.014625485059578554,0.010236685897507246
20-30,0.5389535303539069,0.1242321217219376,0.806206574892418,-0.22551704450881888,0.008753204244331908,0.05000928817156022,0.015964300341748495,0.013427314397858258
30-40,0.2952905949437955,-5.345738477354698,2.983727396079371,-2.328616460658142,0.03705726970990659,2.45053221225622,1.4377341552036786,1.4146739011268294
40-50,0.1106507455681873,-57.51443240024537,595.2629639933974,-594.123054145191,0.012234767846517152,333.63746515534575,21572.261440893268,21572.217926701058
50-60,1.0980837314920213,1.256929344137806,0.5511103893514344,0.010661374247966383,0.036847587222771136,0.028039240341275147,0.013737552161070693,0.009918804234489546
60-70,0.6693732692658338,0.2720407475815496,0.6773600022377074,0.05591102492805609,0.030367992665228778,0.11939714673818509,0.03733287401652089,0.032067857092267275
70-80,0.4284047521406598,-17.76224889886796,1039.6092904674447,-1038.9708670064715,0.005909108228549773,35.77669476101681,15864.530163353045,15864.529093358504
80-90,0.5000923754804298,-16.52805436008429,2813.7268383719106,-2812.864455828928,0.013591909510345187,151.87481266883074,213150.7532473925,213150.7504580167
90-100,1.045506762429125,0.6688579737448865,0.8771880789271336,-0.15294666218615344,0.017570954682626986,0.02741620237210804,0.015174195237584126,0.013312417164195097
