Region,a,b,c,a SD,b SD,c SD
insufficiently protected,0.10908649830495157,1.4860932157643505,0.026419505255437094,0.00040219514211058555,0.012050512432520128,0.0001442357816092743
well protected,0.11599450243914397,1.2408590345223318,0.026296125557916335,0.00034990280092684505,0.007402906414819607,8.947065411821471e-05
