Region,a,b,c,a SD,b SD,c SD
North America,2337.1541787034325,3.234691014116655e-05,0.0,184969.56674026913,0.002560146996577864,0.0
Latin America and Caribbean,2551.1788499358763,3.093906057997939e-05,0.0,127638.75286610532,0.0015480184313597205,0.0
Europe and Central Asia,0.1730710068170393,1.5773804500267512,0.0,0.00860507174519617,0.13912475594897594,0.0
Middle East and North Africa,1.040141865997744,0.13570682761764602,0.0,0.09336413675046655,0.014077166081478042,0.0
Sub-Saharan Africa,3.0727704194299448,0.031466264076566816,0.0,1.3324530201882228,0.014236099573540743,0.0
South Asia,3439.0490487485768,3.111966911307232e-05,0.0,164562.03329764504,0.0014891661967080497,0.0
East Asia and Pacific,3991.219748825829,2.4221177901456235e-05,0.0,353246.8782158216,0.0021438250287307645,0.0
