Region,a,b,c,a SD,b SD,c SD
North America,1.9589830030154165,0.05619215131546195,0.07208769816610747,0.47443110859931614,0.014760911384019143,0.0012458230821356026
Latin America and Caribbean,0.924361721632089,0.1055781965974325,0.09985035586604259,0.05677751285293282,0.007554505630863478,0.0005413854510292771
Europe and Central Asia,0.47399107782219596,0.1844147045078837,0.31054451235129954,0.010792757879126404,0.005090002562795154,0.00016902210424630975
Middle East and North Africa,2.8076919434550986,0.037415895404474035,0.10568022365293464,0.4973725649087235,0.007014772058896275,0.0006271455031926454
Sub-Saharan Africa,1784.135381661946,6.293236511746716e-05,0.14192339574614807,103741.33013470736,0.0036597021614787686,0.0010087292555263504
South Asia,1.6314997665865583,0.10243982076855428,0.19883688316509796,0.23044089282895755,0.01678356937148782,0.0020636278251005224
East Asia and Pacific,0.3159925279657091,1.0263017547080056,0.1261112497530193,0.004093937072125526,0.026851353871336137,0.0010879844343663436
