Region,a,b,c,a SD,b SD,c SD
North America,0.2219700732189601,0.7282265065853755,0.0,0.0026321742945991868,0.01268712524284614,0.0
Latin America and Caribbean,0.1596907470731871,2.768653178749479,0.0,0.0029178842287926206,0.10500444222584895,0.0
Europe and Central Asia,0.12343010867243238,5.256376835474234,0.0,0.0008395680267489536,0.08183698974694391,0.0
Middle East and North Africa,0.19948422430753932,1.0893517570588183,0.0,0.0015988165698025446,0.014118543587151224,0.0
Sub-Saharan Africa,0.08171049447053697,3.0040687403871673,0.0,0.001023896726286147,0.07958981833055709,0.0
South Asia,0.26789817851407705,1.8543766992419344,0.0,0.0022562586758749885,0.029353389204766447,0.0
East Asia and Pacific,0.16480826719755634,2.594204834415468,0.0,0.001723710477561005,0.055887405928134834,0.0
