Region,SLR_factor,SLR_weight_MG,SLR_weight_GIS,SLR_weight_AIS,average_fp_height,total_fp_length,surge1_height,surge10_height,surge100_height,surge1000_height,population_fraction,asset_fraction
0-10,0.988979660660706,0.953293241467817,0.8712000276885047,1.0996382691917943,1.6937514673859382,188099.09925073385,1.3377886394578085,1.4921249653512558,1.6464612912447032,1.7979945968085838,0.10126214470651292,0.09027708191134202
10-20,0.9911051422935865,0.9500359237873773,0.9278809946600368,1.0907251679836978,1.7764856299833585,42926.95291861147,1.4147386313085142,1.5741123402205766,1.733486049132639,1.8899652459012029,0.10149647519630953,0.1065155373495596
20-30,1.008957918379397,0.9765927978391983,0.9725334331963746,1.1092796016367785,1.8756676560383938,21394.099607110023,1.470379167046188,1.6483170777692504,1.8262549884923127,2.000961253003865,0.10180312950620939,0.11195722100655016
30-40,0.9976859755236037,0.9495933212002491,0.9846101741976002,1.08057854253116,1.7263548901062873,12704.325181752443,1.385775148091763,1.5379701706766011,1.6901651932614392,1.8395961075956138,0.09734955497507694,0.11102153698963857
40-50,1.027237848786096,0.993969823781057,1.0293207897151262,1.1116724909079465,1.6447670809330117,7852.3752636909485,1.3232717974475305,1.468237990596374,1.6132041837452176,1.755537552596667,0.09719754486160437,0.09328148095833902
50-60,1.029771788199193,0.9945679754084683,1.039007835388695,1.1156783141143605,1.8612888652828024,4855.400640964508,1.4854780618886632,1.651917057526338,1.8183560531640128,1.9817722490025378,0.0980297480820936,0.0898100581423426
60-70,1.0003225506561266,0.963619397806299,0.9624251393075564,1.0999075391863122,2.0517376056849934,3160.7721185684204,1.539011675246887,1.7568820952301234,1.9747525152133598,2.188666002520341,0.10134003160392306,0.14920878017925504
70-80,1.0395732608892885,0.967283112309315,1.0777852533858938,1.1077453625212779,2.3730528265966435,1871.968564717099,1.850705718167727,2.0842232965076017,2.3177408748474764,2.547017523773741,0.08677119743082845,0.07132314045075663
80-90,1.0299682595595463,0.9547812964063636,1.0651852946553662,1.102646852569663,1.792967978904618,1588.910596370697,1.3043707124921335,1.5183389929371116,1.7323072733820897,1.942389641102484,0.11935300242339399,0.08695206903332516
90-100,1.0388945301460388,0.9662367315133443,1.0647170778319246,1.1079035686474457,1.9678233267637562,583.4247915735468,1.5553818340841983,1.7396321251153528,1.9238824161465073,2.104786441610627,0.09539717121404778,0.0896530939788912
