Region,SLR_factor,SLR_weight_MG,SLR_weight_GIS,SLR_weight_AIS,average_fp_height,total_fp_length,mobcapfrac,surge1_height,surge10_height,surge100_height,surge1000_height,population_fraction,asset_fraction
0-10,1.0476266294950147,1.0190187772429515,1.0545430021386761,1.1130500862435169,1.6594520267172521,131976.44168093055,0.1806266783739191,1.3875668006060937,1.5142591141397286,1.6409514349078702,1.7653427979634368,0.09152302458711888,0.0038035668945987267
10-20,1.0153998515972549,0.9735117850541642,0.9839332013000183,1.1027286564980985,1.7083168984072747,67766.19165059924,0.17207225261322445,1.2911843457143783,1.4677769139987245,1.6443694787210597,1.8177548124728975,0.09845236682850791,0.033116610607627196
20-30,1.0028254198915283,0.959287602654983,0.9581937867091391,1.0964568264947336,1.7828904593390806,31731.177893936634,0.17222733575156904,1.3428721821819551,1.5286597259918362,1.7144472738976235,1.8968605989416056,0.0942749769721734,0.05475138327562079
30-40,1.0182383034049316,0.9860624629007477,0.9852112459999066,1.1058705972705902,1.7819974007948671,20378.524468004704,0.17856373765829917,1.3490142840952422,1.530068914225407,1.7111235461104968,1.8888899046555399,0.09944595700468864,0.07712736145036289
40-50,0.9907598792581283,0.9440587210463728,0.9471801744831838,1.0862989875808717,2.023516424873729,13917.874763309956,0.17734906911051662,1.5523757156871487,1.748600095629875,1.9448244778338124,2.137485078451519,0.10023808153722176,0.10833113061629954
50-60,0.984981245400288,0.9395159954954498,0.9421037161939613,1.0836451693968925,1.79857892097199,8701.377658723854,0.1864285445736283,1.3383696781922318,1.5288991648116108,1.719428634799025,1.906497830536884,0.09609081761736694,0.1500943268520171
60-70,1.0212356837571313,0.9876347427588492,1.0306886749764872,1.1162621135454607,2.083192423907528,5261.241431713104,0.19596770264877758,1.584530834115936,1.7918415454403847,1.9991522615909907,2.2026979017068355,0.1041641258156388,0.14676890442872184
70-80,1.0063053370111572,0.9369139797846392,1.0098906517324866,1.0887889107719815,2.188690039162009,2234.621882915497,0.18773000994942612,1.614214068443853,1.8574610001804797,2.10070788838635,2.3395370174743366,0.09084509761978399,0.12164497810890036
80-90,0.9906162283749684,0.9486384058568907,0.9763423330868605,1.1142612226618738,2.2126275595718483,1957.153398124501,0.21148985643723558,1.4786686191159057,1.7770190241011001,2.075369461612934,2.368301335918081,0.09672497961973406,0.13617275550056612
90-100,1.0455992972669284,0.9699375056082359,1.0777090277359884,1.112923675885411,1.916451180833174,1112.724105834961,0.2123683638460941,1.3719265121514022,1.598966936729499,1.8260073421308178,2.048924372925925,0.12824057239776562,0.16818898226528547
