Region,SLR_factor,SLR_weight_MG,SLR_weight_GIS,SLR_weight_AIS,average_fp_height,total_fp_length,population_fraction,asset_fraction
North America,0.9500942386208315,0.8129400342592668,0.7150582501719882,1.1241072807052406,1.8536067095256084,62923.504925489426,0.04985950792469748,0.16301396118849254
Latin America and Caribbean,1.036729164089762,0.9844720638287587,1.0661127441471931,1.084808938739667,1.3469696257917652,78657.80689796805,0.07214050923741623,0.059336918388256485
Europe and Central Asia,0.8167596706732643,0.7367813890263566,0.344683316949393,1.0177171391670916,1.668648082389216,124171.38466311991,0.08282637475736662,0.24398900627938838
Middle East and North Africa,0.9715215542466041,0.921151372374231,0.804079524111702,1.0544242876708139,0.8843843221746249,23657.26449972391,0.040337448071976,0.040080528230815156
Sub-Saharan Africa,1.0336233325910924,1.06130584744428,1.014190749693861,1.069505498627894,1.4952966339072875,35848.312917558476,0.046889050545345375,0.02282882496700941
South Asia,1.0289462926344106,0.9298711514792488,1.0552241627856203,1.0936757351217359,1.6698721375435912,16928.788800776005,0.17938053520466876,0.04036070546177576
East Asia and Pacific,1.0737883119112983,1.023485268220172,1.1121687744233868,1.1270043932092129,1.6893176650600195,187642.80309403595,0.5285665742585296,0.43039005548426207
