Region,SLR_factor,SLR_weight_MG,SLR_weight_GIS,SLR_weight_AIS,average_fp_height,total_fp_length,mobcapfrac,surge1_height,surge10_height,surge100_height,surge1000_height,population_fraction,asset_fraction
1,0.9503004274835395,0.9067224518112663,0.7701949501502451,1.0993956253898978,0.7882859210131024,464945.98921722267,0.15283545069627932,1.605965174921405,1.823477359777855,2.0409895446343063,2.2545513329508444,0.010014138161576478,0.004496456433306587
2,0.9742795222560384,0.9530792552445148,0.8410380392582335,1.1002914027183175,1.5669267705897263,51552.39540522103,0.1766988097653034,1.2508177764487458,1.3939932196166647,1.5371686627845884,1.677743793582682,0.010062763437357734,0.0074288097499684526
3,0.9782539215537206,0.9363760001829569,0.8281087929591694,1.0927648630483748,1.6367643801130916,31328.532095263545,0.1523810413888995,1.287714017682415,1.4445226424146256,1.6013312671468352,1.755291984308926,0.010287459405076985,0.009077881334342754
4,0.999817929202591,0.9644581931086103,0.88967394579683,1.1014405590280065,1.6526616137000978,22804.443937343625,0.18008760618439845,1.2894428897206114,1.4498912852213357,1.610339680722061,1.7678740720800004,0.010011649357388644,0.0096759789471562
5,0.9757721226202518,0.9081941221124087,0.8434380893668239,1.0962062076966217,1.8838785844760713,17880.824006057934,0.1637173644498262,1.4996707602953847,1.6691485223328941,1.8386262843704042,2.0050260227804384,0.01005721586993338,0.00735737892057253
6,0.9842062894539159,0.9540641883572442,0.8650910443993339,1.1030676703989692,1.5954051494910308,14782.312204696098,0.15730041241389134,1.2821603519223386,1.4238678070459039,1.5655752621694714,1.7047090771780464,0.010374996566247692,0.008205822516176815
7,0.9747231935552082,0.9452662194363854,0.8380696177095132,1.1041792531846368,1.6808008233343654,12467.258093041195,0.15120612755665697,1.347497254831929,1.4924098684483627,1.6373224820647942,1.779603246035702,0.00996779403303247,0.011127567170296147
8,0.996543883233273,0.959015308023081,0.9127654541088905,1.0776169430718787,1.529831933418844,10810.796470127189,0.16077441885629515,1.228669413197569,1.3630306144384172,1.4973918156792672,1.6293127834524443,0.009985025493540215,0.00974170954812666
9,1.012085094022329,0.9741121670066597,0.9210540325862924,1.1014463356992534,1.5181708097082334,9488.394200840577,0.1487496827178547,1.1877340352521073,1.3335356371171918,1.4793372389822765,1.622490846545427,0.010244293166598965,0.008233162181475925
10,0.9928272213193123,0.9702198270100535,0.8893861650513388,1.104337382408276,1.872536063144274,8340.316436524576,0.15388831782143098,1.5507739186734486,1.699994235140136,1.849214551606823,1.9957247513408496,0.009782969165178105,0.00959109248899621
11,1.0057553095287959,0.9666006231675204,0.8974883850322173,1.1119380908816334,1.6086209986486089,7297.071847840171,0.16484292003867712,1.2509511848079027,1.4075194505079205,1.5640877162079374,1.7178124216715753,0.010085796521086668,0.010446526347004954
12,0.9936917423450696,0.9389504476129718,0.8557167733188055,1.0959457620075133,1.6222774013878112,6518.313286809726,0.14055636211157202,1.2710304493478186,1.425560818739272,1.580091188130724,1.7318150101642638,0.010070692499809446,0.01179639369975448
13,1.005527281319825,0.9531956986948994,0.8914113023088002,1.1018611895608557,1.54940910346836,5820.587945936803,0.16567011322713251,1.1583336213815203,1.3286959554847688,1.4990582895880162,1.6663265358510746,0.010134779890752807,0.0117714252089715
14,1.0274500099762753,1.0077225608074676,0.9968181401199425,1.1128254194240872,1.776319952553848,5299.557153893228,0.17297724261315947,1.4531883982829423,1.5978183899448435,1.7424483816067446,1.8844516598523586,0.009598959060529374,0.008111728453815645
15,0.9895541422219207,0.9608024103428762,0.8862543810387472,1.0934613079437718,1.6805684429928538,4778.441252131553,0.19331849252802513,1.3110918202600141,1.4736763655414593,1.6362609108229036,1.7958926350767126,0.010179169346773834,0.014459591461620186
16,0.990591880339755,0.908847404330594,0.9444836178360718,1.1071994007124193,1.9789278924474556,4451.252921867816,0.16522313396303995,1.5899890504501266,1.7586535643340595,1.927318078217994,2.0929193355355253,0.009912924999443344,0.00857706410414446
17,1.0287779893567055,1.0054449470609474,1.0353730473675826,1.1037643654732658,1.657026073210869,4067.0263649862904,0.18630628723004727,1.3696318458220524,1.5026539463543669,1.6356760468866802,1.7662822392416542,0.00990814103261673,0.006652287415387372
18,1.011095291361152,0.9705004415307872,0.9861744402590653,1.1083801323956366,1.794707071037415,3645.5463238399757,0.17486960386649664,1.4289471864304533,1.5920971931940047,1.7552471999575572,1.9154341108787025,0.010423270588594161,0.010337185853989697
19,0.9773694987296312,0.9360993585445067,0.8895203082213429,1.093872666265094,1.9182144639912375,3361.976814311756,0.1712688944561227,1.5580033600354872,1.7120142108953795,1.8660250617552745,2.0172388223099236,0.010122147840139439,0.011498075570042635
20,0.9760439938964998,0.9336595134886067,0.9515230718942602,1.0710699394737504,1.9882916969233857,3158.5634137623806,0.17592583997820982,1.6240792706625449,1.78738400681015,1.9506887429577553,2.11102761536473,0.010429389779677485,0.010115189875921575
21,0.9307020043543415,0.8947665564031181,0.8459948595371884,1.0220151258047485,1.9304525508777781,2967.614694079434,0.14788886416045036,1.5581077376714334,1.7208881106099447,1.8836684835484556,2.043492461300673,0.01058578920423451,0.014052848978659091
22,0.9819559155221991,0.9288328181929285,0.8220782039521918,1.1035858007971986,2.3624496292776462,2767.992293051216,0.16557117238860564,1.8373630067177595,2.0662914139236226,2.2952198211294847,2.5199904708645757,0.010420040368889326,0.012145335709000279
23,1.0107909904023964,0.9616506756437607,0.9509193584825757,1.1154226601151387,1.4856382892445819,2644.997718911462,0.1755138704957595,1.1725733992635745,1.313503533730113,1.4544336681966505,1.592804280198102,0.0102044899923981,0.014343877196336913
24,1.0185452442366856,0.9898977244990964,0.9921778947367441,1.1205829079255079,1.924854128078541,2466.2987126165326,0.19058048133781527,1.5899472867596214,1.7425881161688426,1.895228945578062,2.0450975323551757,0.010156011597565887,0.009687940766732154
25,1.0184277862805309,0.9968911767304629,1.0136482022640563,1.106785628030886,1.848303217325732,2339.049371768553,0.18299965519537645,1.4521882442270548,1.6217729057938928,1.791357567360728,1.9578623168720146,0.010556705049032838,0.009596399810278995
26,1.0245506021928494,0.9940791893458819,0.9910877264756852,1.10624889532838,1.6132135206772678,2209.647987637928,0.15502026267703753,1.2861325795244236,1.4301018327497685,1.5740710859751152,1.715425591397468,0.010066154038158978,0.01271375539141207
27,0.9928610699237795,0.9797752887871953,0.9407754697827875,1.0987171190141418,1.492971091534974,2063.856567077243,0.17729125383402092,1.1696125665320614,1.3179178311524316,1.4662230957728042,1.6118348821488961,0.009889618085588414,0.011805635820865643
28,1.0195794493972308,1.0029970604517582,1.0384954185425508,1.10041803676417,2.01812255733624,1932.193282486002,0.19049980245094025,1.6710473315563965,1.8276177888043261,1.9841882460522586,2.1379151359415776,0.009746683578228232,0.005337016976497926
29,1.0261640775507765,0.9788538933373775,1.0285644272345753,1.1146358673493264,2.037992212333136,1833.553685733161,0.210691874400306,1.4781002624403057,1.7167418816575617,1.9553835008748193,2.189690949930046,0.01039063162790234,0.013996853124465728
30,0.9651119778476198,0.946604357535613,0.922068106196153,1.110607311107584,2.1820404323102722,1795.4081908634296,0.17458565338502327,1.7370438601462355,1.9256959920527608,2.114348123959283,2.2995740541630663,0.010526959027404132,0.010585744144153796
31,1.0300136518336227,0.9925142967738152,1.0343001421194042,1.1156596302706305,1.7089362014996148,1698.3764560346224,0.194239361236156,1.1766693958346717,1.405245172020836,1.6338209482070012,1.8582453986001537,0.010342100553863198,0.01165043288917925
32,1.027920521527236,0.9969892278247346,1.019604868255526,1.106363527791364,1.5593404167571265,1606.4639075973437,0.2034288309556888,1.289507736943542,1.4128170933739583,1.5361264498043765,1.6571963242032313,0.009377275217804446,0.008269876179253611
33,0.947652119827216,0.9069715542264388,0.9676802267891241,1.0507843787568218,2.2212285807047323,1528.7031986879576,0.1704559622681926,1.8181087834732774,2.0049916350514336,2.19187448662959,2.3753632634578343,0.010637061438880508,0.013374689291925217
34,0.8636739973352769,0.8383635001939259,0.8403743110743636,0.9334852283639447,2.228110958152426,1437.913570909867,0.18764830472584107,1.8068067501873577,1.98997607272038,2.1731453952534006,2.352988080533849,0.010205123996167508,0.01357668544963653
35,1.031314308081923,0.9640297048265303,1.0315232854736223,1.1101964466791414,1.658611772594359,1351.0852543830865,0.1814230235850322,1.2814124954334107,1.4457441269921294,1.6100757585508474,1.771422775139382,0.00944390604108409,0.01131737888243878
36,1.0020850218665969,0.960890739948929,0.9143220240591201,1.0884852359472152,1.166007762183219,1280.881261784358,0.18749561412072424,0.8442949147718047,0.9853210785635748,1.126347242355344,1.2648121315605318,0.009193508408457016,0.010454265434575035
37,1.0138901549975177,0.8978472355310253,1.020457193971708,1.1207623220951644,1.6259779945809563,1225.3372733863348,0.18939560600293706,1.3162565789050016,1.4548191276859852,1.5933816764669688,1.7294277534041407,0.009260062126712005,0.012360024479509958
